spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,733.0,3.0,1.0,384.0,7.0,50.0,1.0,1.0,472.0,95.0,53.0,9.0,1097471879.0,0.75,0.68,0.0,1472788309.0,2045604784.0,62.0,1.0,943.0,0.0,19.0,3.0,306.0,1.0,2750.574
1.0,680.0,6.0,3.0,677.0,8.0,64.0,0.0,0.0,442.0,77.0,53.0,4.0,1921478811.0,0.58,0.71,0.0,2080509909.0,1761501483.0,59.0,0.0,587.0,1.0,43.0,2.0,213.0,2.0,2542.938
0.0,0.0,5.0,2.0,441.0,4.0,62.0,1.0,0.0,404.0,109.0,121.0,7.0,1540858358.0,0.53,0.72,1.0,1523271327.0,1089324848.0,40.0,0.0,854.0,1.0,16.0,3.0,184.0,3.0,2719.328
1.0,1010.0,6.0,3.0,533.0,7.0,60.0,0.0,1.0,366.0,112.0,128.0,10.0,1883839482.0,0.88,0.53,0.0,1612025152.0,1731728576.0,33.0,1.0,773.0,0.0,32.0,5.0,314.0,1.0,2553.162
1.0,729.0,3.0,1.0,384.0,6.0,64.0,0.0,1.0,206.0,96.0,44.0,5.0,1241964684.0,0.67,0.75,0.0,1810934589.0,1903102305.0,48.0,0.0,923.0,0.0,19.0,4.0,296.0,4.0,2784.064
0.0,0.0,4.0,2.0,384.0,8.0,41.0,0.0,0.0,335.0,45.0,121.0,8.0,1101248105.0,0.54,0.58,0.0,1167921381.0,1120681459.0,63.0,1.0,806.0,1.0,33.0,2.0,323.0,3.0,2556.93
0.0,0.0,4.0,2.0,453.0,8.0,38.0,1.0,1.0,252.0,34.0,90.0,10.0,2103548035.0,0.68,0.8,1.0,1259541546.0,1564318633.0,35.0,1.0,989.0,1.0,46.0,3.0,301.0,2.0,2572.097
0.0,0.0,4.0,2.0,440.0,4.0,37.0,0.0,0.0,210.0,62.0,50.0,5.0,1585004293.0,0.61,0.84,0.0,1151768552.0,1221839744.0,70.0,1.0,672.0,0.0,39.0,4.0,226.0,4.0,2745.256
1.0,799.0,6.0,3.0,701.0,7.0,32.0,1.0,1.0,322.0,41.0,109.0,8.0,1632576113.0,0.56,0.7,0.0,2029394581.0,1565918101.0,53.0,1.0,744.0,0.0,46.0,4.0,203.0,2.0,2552.514
1.0,682.0,4.0,2.0,446.0,8.0,53.0,0.0,1.0,356.0,118.0,39.0,6.0,1756863684.0,0.87,0.75,0.0,1220743066.0,1174091339.0,58.0,0.0,609.0,0.0,27.0,1.0,209.0,2.0,2560.84
