spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
4.0,8.0,15.0,60.0,1.0,0.0,388.0,127.0,60.0,5.0,1485508626.0,0.83,1.0,768.0,0.81,1.0,1586275582.0,1641782195.0,67.0,1.0,678.0,0.0,38.0,4.0,432.0,0.55,9.0,237.433
4.0,14.0,16.0,30.0,0.0,1.0,328.0,111.0,79.0,9.0,1921859716.0,0.68,0.0,763.0,0.54,1.0,1356309342.0,1893839578.0,50.0,0.0,603.0,1.0,18.0,2.0,452.0,0.62,6.0,436.762
4.0,12.0,15.0,17.0,0.0,0.0,325.0,70.0,41.0,8.0,1624800317.0,0.69,1.0,853.0,0.5,0.0,1320079233.0,2096147542.0,66.0,1.0,860.0,1.0,46.0,3.0,254.0,0.54,7.0,254.887
3.0,9.0,15.0,25.0,0.0,0.0,493.0,47.0,42.0,7.0,1102365736.0,0.63,1.0,967.0,0.6,1.0,1937685603.0,1772931193.0,30.0,0.0,820.0,1.0,42.0,1.0,229.0,0.81,6.0,261.539
4.0,16.0,11.0,32.0,1.0,0.0,276.0,71.0,61.0,3.0,1444370065.0,0.62,0.0,671.0,0.6,1.0,1552063352.0,1469044709.0,38.0,0.0,704.0,0.0,37.0,2.0,342.0,0.62,4.0,525.634
4.0,8.0,9.0,3.0,1.0,1.0,289.0,84.0,111.0,7.0,2117271203.0,0.67,0.0,583.0,0.66,0.0,1837379197.0,1806541365.0,63.0,0.0,915.0,1.0,33.0,5.0,286.0,0.66,1.0,527.316
4.0,11.0,8.0,60.0,1.0,0.0,295.0,114.0,110.0,8.0,1266656975.0,0.74,0.0,525.0,0.51,0.0,1402427179.0,1477986074.0,37.0,1.0,523.0,0.0,39.0,3.0,423.0,0.57,7.0,1359.304
2.0,12.0,9.0,59.0,1.0,0.0,421.0,44.0,92.0,8.0,2021675777.0,0.52,0.0,860.0,0.51,1.0,1987822514.0,1573139473.0,69.0,1.0,991.0,0.0,35.0,1.0,172.0,0.87,9.0,411.976
2.0,8.0,11.0,56.0,1.0,1.0,467.0,96.0,112.0,8.0,1163139811.0,0.77,1.0,638.0,0.85,0.0,2048789894.0,2007145080.0,45.0,0.0,629.0,0.0,22.0,5.0,396.0,0.53,2.0,258.679
3.0,15.0,11.0,61.0,1.0,1.0,249.0,125.0,35.0,9.0,2013069583.0,0.89,0.0,882.0,0.62,1.0,2147165931.0,1161413344.0,47.0,1.0,909.0,1.0,41.0,1.0,268.0,0.75,9.0,238.221
4.0,11.0,13.0,7.0,1.0,0.0,364.0,77.0,88.0,8.0,1188937852.0,0.86,0.0,817.0,0.59,0.0,1976331795.0,1246548667.0,36.0,1.0,642.0,0.0,25.0,1.0,258.0,0.63,1.0,1320.104
2.0,10.0,11.0,37.0,0.0,0.0,210.0,108.0,119.0,8.0,1099067776.0,0.62,1.0,974.0,0.56,0.0,1273690673.0,1403644579.0,60.0,0.0,941.0,0.0,38.0,5.0,427.0,0.8,9.0,411.475
2.0,15.0,14.0,20.0,0.0,1.0,202.0,95.0,57.0,4.0,1748666106.0,0.87,1.0,519.0,0.63,0.0,1133462206.0,2005329296.0,48.0,1.0,971.0,1.0,43.0,2.0,121.0,0.75,10.0,233.579
4.0,11.0,9.0,3.0,0.0,0.0,340.0,118.0,63.0,6.0,1351455595.0,0.69,1.0,640.0,0.76,0.0,1890333168.0,1212722418.0,61.0,0.0,698.0,1.0,23.0,3.0,282.0,0.74,3.0,476.337
3.0,16.0,16.0,35.0,1.0,0.0,276.0,75.0,123.0,5.0,1992111476.0,0.81,1.0,583.0,0.57,1.0,1418839026.0,2139086128.0,70.0,0.0,967.0,1.0,29.0,5.0,471.0,0.84,6.0,214.627
3.0,12.0,15.0,64.0,1.0,1.0,267.0,40.0,77.0,9.0,1374215908.0,0.51,1.0,787.0,0.73,1.0,2139458398.0,1963549025.0,35.0,1.0,645.0,0.0,24.0,1.0,492.0,0.88,9.0,391.336
4.0,11.0,8.0,12.0,1.0,1.0,265.0,104.0,122.0,10.0,1800599325.0,0.61,1.0,651.0,0.75,1.0,1101976194.0,1770858368.0,67.0,0.0,955.0,1.0,42.0,3.0,338.0,0.82,6.0,403.766
4.0,13.0,14.0,42.0,1.0,1.0,427.0,34.0,81.0,7.0,2110423096.0,0.89,0.0,517.0,0.53,1.0,1627731660.0,1996555605.0,32.0,1.0,582.0,0.0,41.0,3.0,155.0,0.53,8.0,247.886
2.0,8.0,12.0,26.0,1.0,0.0,360.0,80.0,104.0,9.0,1956418776.0,0.68,1.0,617.0,0.67,0.0,1976427486.0,2075018193.0,37.0,0.0,519.0,0.0,25.0,4.0,437.0,0.64,10.0,254.491
2.0,9.0,12.0,10.0,1.0,1.0,227.0,94.0,117.0,3.0,2129598023.0,0.89,0.0,546.0,0.61,1.0,2013268273.0,1261204643.0,37.0,1.0,624.0,0.0,25.0,1.0,463.0,0.6,5.0,277.74
3.0,16.0,11.0,54.0,0.0,0.0,287.0,39.0,70.0,9.0,1157282620.0,0.6,0.0,792.0,0.51,0.0,2000535379.0,1938560189.0,50.0,1.0,708.0,0.0,30.0,3.0,363.0,0.7,7.0,405.963
2.0,11.0,10.0,25.0,0.0,0.0,353.0,96.0,113.0,2.0,1520991475.0,0.52,1.0,916.0,0.57,0.0,1496700992.0,2110046230.0,37.0,0.0,668.0,1.0,27.0,3.0,182.0,0.76,3.0,209.343
4.0,12.0,11.0,51.0,0.0,0.0,468.0,92.0,42.0,8.0,1256978904.0,0.68,0.0,1020.0,0.55,0.0,1511196544.0,2089705285.0,32.0,0.0,966.0,0.0,28.0,5.0,317.0,0.69,10.0,447.599
4.0,10.0,13.0,57.0,1.0,0.0,410.0,111.0,125.0,6.0,1767810108.0,0.85,0.0,662.0,0.78,1.0,2104803389.0,1858952230.0,40.0,0.0,592.0,1.0,27.0,3.0,159.0,0.86,10.0,223.317
2.0,13.0,8.0,33.0,0.0,0.0,483.0,116.0,120.0,8.0,1098516681.0,0.55,0.0,535.0,0.54,1.0,1962796058.0,1673624327.0,43.0,0.0,923.0,1.0,34.0,3.0,170.0,0.63,7.0,267.596
4.0,16.0,8.0,21.0,0.0,1.0,295.0,37.0,81.0,7.0,1577186686.0,0.72,0.0,780.0,0.56,1.0,1447569436.0,1143217219.0,58.0,1.0,595.0,1.0,18.0,2.0,256.0,0.76,1.0,558.439
3.0,8.0,9.0,11.0,0.0,0.0,272.0,46.0,109.0,6.0,1427238376.0,0.8,1.0,859.0,0.54,1.0,1379047147.0,2136342681.0,67.0,1.0,711.0,1.0,20.0,5.0,424.0,0.67,7.0,396.176
4.0,15.0,9.0,42.0,0.0,0.0,307.0,106.0,99.0,10.0,1794993931.0,0.5,1.0,784.0,0.58,0.0,1190053010.0,1670069437.0,63.0,0.0,797.0,1.0,27.0,2.0,304.0,0.58,6.0,237.897
