spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
1.0,684.0,4.0,2.0,482.0,7.0,61.0,1.0,1.0,202.0,94.0,114.0,8.0,1329024531.0,0.53,0.76,1.0,1868445356.0,51.0,689.0,25.0,2.0,174.0,4.0,327.0,11505939.0,9959.0,0.0,955.0
1.0,955.0,4.0,2.0,384.0,8.0,59.0,1.0,0.0,285.0,40.0,49.0,10.0,1325182144.0,0.88,0.67,0.0,1928708748.0,63.0,713.0,22.0,3.0,168.0,1.0,250.0,13975087.0,10489.0,1.0,794.0
0.0,0.0,5.0,2.0,384.0,4.0,55.0,0.0,0.0,403.0,83.0,92.0,10.0,1932917518.0,0.83,0.81,0.0,1457579773.0,72.0,573.0,30.0,1.0,176.0,1.0,320.0,9599575.0,11412.0,0.0,921.0
1.0,769.0,5.0,2.0,451.0,4.0,41.0,1.0,1.0,482.0,75.0,76.0,10.0,1576688208.0,0.77,0.55,1.0,1343268110.0,50.0,622.0,29.0,1.0,193.0,2.0,382.0,9402784.0,10125.0,0.0,946.0
1.0,989.0,5.0,2.0,607.0,6.0,34.0,0.0,1.0,477.0,128.0,69.0,10.0,1395439442.0,0.58,0.82,1.0,1137949123.0,40.0,965.0,40.0,3.0,182.0,3.0,379.0,8636672.0,11902.0,1.0,1011.0
1.0,648.0,6.0,3.0,531.0,8.0,37.0,0.0,1.0,272.0,52.0,86.0,6.0,2029613271.0,0.79,0.63,0.0,1262727579.0,70.0,577.0,44.0,2.0,168.0,2.0,252.0,12813612.0,8411.0,0.0,823.0
0.0,0.0,7.0,3.0,677.0,4.0,63.0,0.0,1.0,271.0,119.0,53.0,8.0,1256861780.0,0.77,0.76,0.0,1588213494.0,71.0,914.0,21.0,2.0,223.0,2.0,368.0,8184655.0,11166.0,1.0,844.0
1.0,764.0,3.0,1.0,384.0,4.0,47.0,0.0,1.0,386.0,77.0,39.0,5.0,1944839705.0,0.63,0.57,1.0,1725516804.0,62.0,533.0,47.0,2.0,245.0,4.0,253.0,14504682.0,11395.0,1.0,1168.0
1.0,663.0,5.0,2.0,555.0,8.0,56.0,0.0,0.0,306.0,88.0,97.0,8.0,2133077636.0,0.54,0.73,0.0,1670531249.0,47.0,875.0,42.0,2.0,237.0,2.0,351.0,10898521.0,11727.0,1.0,885.0
0.0,0.0,3.0,1.0,384.0,7.0,41.0,0.0,0.0,225.0,56.0,37.0,9.0,1612886023.0,0.78,0.61,0.0,1114549442.0,58.0,668.0,17.0,3.0,164.0,2.0,358.0,15519932.0,8417.0,0.0,1137.0
