spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
1.0,5.0,8.0,53.0,0.0,0.0,218.0,107.0,101.0,2.0,1900600453.0,0.88,0.0,970.0,0.61,1.0,1397147659.0,1517065335.0,39.0,0.0,543.0,1.0,41.0,3.0,277.0,0.8,9.0,541.161
4.0,4.0,5.0,24.0,1.0,1.0,239.0,57.0,85.0,8.0,2040988826.0,0.85,1.0,894.0,0.56,1.0,1332123703.0,1343989568.0,61.0,1.0,631.0,1.0,28.0,3.0,212.0,0.63,5.0,972.663
1.0,6.0,7.0,21.0,0.0,0.0,285.0,75.0,42.0,3.0,1302041370.0,0.54,1.0,554.0,0.56,1.0,1215792214.0,1754657109.0,71.0,0.0,504.0,1.0,33.0,4.0,202.0,0.75,2.0,432.411
1.0,6.0,7.0,50.0,0.0,0.0,463.0,82.0,33.0,7.0,1164390005.0,0.85,0.0,514.0,0.53,0.0,1279666671.0,1523879693.0,68.0,1.0,610.0,0.0,31.0,1.0,429.0,0.77,1.0,426.572
3.0,6.0,2.0,54.0,1.0,1.0,210.0,123.0,69.0,4.0,1812470616.0,0.54,1.0,783.0,0.85,0.0,1810919906.0,1802099618.0,42.0,1.0,568.0,1.0,32.0,3.0,494.0,0.86,2.0,243.948
3.0,2.0,2.0,14.0,0.0,1.0,443.0,47.0,54.0,7.0,1203938707.0,0.75,1.0,839.0,0.63,0.0,1469841202.0,1380117565.0,29.0,0.0,915.0,1.0,20.0,5.0,322.0,0.89,9.0,411.57
4.0,7.0,6.0,38.0,1.0,0.0,316.0,118.0,114.0,5.0,1608929277.0,0.74,1.0,524.0,0.59,1.0,1862443368.0,1222614466.0,45.0,0.0,904.0,0.0,30.0,5.0,424.0,0.88,6.0,172.783
3.0,2.0,5.0,55.0,0.0,0.0,326.0,116.0,123.0,3.0,1940032795.0,0.87,0.0,948.0,0.51,1.0,1090427085.0,1298617448.0,66.0,1.0,739.0,1.0,17.0,2.0,216.0,0.88,4.0,416.383
1.0,4.0,5.0,18.0,0.0,0.0,391.0,122.0,37.0,2.0,1293857642.0,0.67,0.0,651.0,0.56,0.0,1086093734.0,1296669091.0,40.0,1.0,825.0,0.0,22.0,2.0,381.0,0.88,7.0,522.831
3.0,7.0,6.0,27.0,0.0,0.0,376.0,40.0,67.0,9.0,1351256656.0,0.73,0.0,915.0,0.62,1.0,2137597264.0,1259866119.0,58.0,0.0,870.0,1.0,19.0,1.0,356.0,0.79,7.0,229.496
4.0,4.0,4.0,16.0,1.0,0.0,278.0,34.0,123.0,9.0,1339567207.0,0.81,1.0,978.0,0.83,1.0,1946843286.0,1804395374.0,29.0,1.0,510.0,0.0,43.0,4.0,421.0,0.81,1.0,391.757
4.0,3.0,5.0,29.0,0.0,0.0,335.0,34.0,62.0,10.0,1964897430.0,0.71,0.0,912.0,0.5,0.0,2008589080.0,2140968042.0,28.0,0.0,701.0,0.0,18.0,3.0,395.0,0.75,2.0,392.824
1.0,8.0,5.0,17.0,0.0,1.0,367.0,72.0,83.0,7.0,1289113586.0,0.54,1.0,1002.0,0.83,0.0,1733564699.0,1801799800.0,64.0,1.0,946.0,1.0,16.0,2.0,465.0,0.69,8.0,373.091
4.0,4.0,8.0,34.0,0.0,1.0,316.0,69.0,91.0,7.0,1460119480.0,0.82,1.0,647.0,0.77,0.0,1535122591.0,1206452696.0,37.0,0.0,528.0,1.0,26.0,1.0,466.0,0.79,1.0,263.328
3.0,3.0,3.0,38.0,1.0,0.0,396.0,77.0,66.0,9.0,1336960995.0,0.67,0.0,771.0,0.68,1.0,1225916245.0,1083053256.0,36.0,0.0,548.0,0.0,19.0,1.0,494.0,0.89,3.0,457.301
1.0,2.0,5.0,53.0,1.0,0.0,259.0,110.0,74.0,10.0,1786843658.0,0.9,0.0,872.0,0.6,1.0,1955753647.0,1388991363.0,52.0,0.0,712.0,1.0,31.0,5.0,378.0,0.52,9.0,1003.549
3.0,7.0,2.0,38.0,0.0,1.0,437.0,89.0,58.0,6.0,1082244628.0,0.56,1.0,542.0,0.9,0.0,1222755648.0,1563540097.0,43.0,1.0,586.0,0.0,17.0,1.0,246.0,0.66,7.0,201.547
